482, 2119, 68, 83, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5727_CROPED.JPG, path time not found, 0, Start 
449.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5758_CROPED.JPG, path time not found, 0, Auto
448.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5759_CROPED.JPG, path time not found, 0, Auto
446.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5760_CROPED.JPG, path time not found, 0, Auto
446.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5761_CROPED.JPG, path time not found, 0, Auto
445.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5762_CROPED.JPG, path time not found, 0, Auto
444.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5763_CROPED.JPG, path time not found, 0, Auto
444.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5764_CROPED.JPG, path time not found, 0, Auto
442.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5765_CROPED.JPG, path time not found, 0, Auto
442.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5766_CROPED.JPG, path time not found, 0, Auto
440.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5767_CROPED.JPG, path time not found, 0, Auto
440.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5768_CROPED.JPG, path time not found, 0, Auto
440.0, 2120.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5769_CROPED.JPG, path time not found, 0, Auto
438.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5770_CROPED.JPG, path time not found, 0, Auto
437.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5771_CROPED.JPG, path time not found, 0, Auto
437.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5772_CROPED.JPG, path time not found, 0, Auto
437.0, 2121.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5773_CROPED.JPG, path time not found, 0, Auto
437.0, 2121.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5774_CROPED.JPG, path time not found, 0, Auto
436.0, 2121.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5775_CROPED.JPG, path time not found, 0, Auto
435.0, 2121.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5776_CROPED.JPG, path time not found, 0, Auto
434.0, 2121.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5777_CROPED.JPG, path time not found, 0, Auto
433.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5778_CROPED.JPG, path time not found, 0, Auto
433.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5779_CROPED.JPG, path time not found, 0, Auto
432.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5780_CROPED.JPG, path time not found, 0, Auto
432.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5781_CROPED.JPG, path time not found, 0, Auto
432.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5782_CROPED.JPG, path time not found, 0, Auto
431.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5783_CROPED.JPG, path time not found, 0, Auto
431.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5784_CROPED.JPG, path time not found, 0, Auto
431.0, 2121.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5785_CROPED.JPG, path time not found, 0, Auto
430.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5786_CROPED.JPG, path time not found, 0, Auto
430.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5787_CROPED.JPG, path time not found, 0, Auto
429.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5788_CROPED.JPG, path time not found, 0, Auto
429.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5789_CROPED.JPG, path time not found, 0, Auto
429.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5790_CROPED.JPG, path time not found, 0, Auto
429.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5791_CROPED.JPG, path time not found, 0, Auto
429.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5792_CROPED.JPG, path time not found, 0, Auto
428.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5793_CROPED.JPG, path time not found, 0, Auto
428.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5794_CROPED.JPG, path time not found, 0, Auto
428.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5795_CROPED.JPG, path time not found, 0, Auto
428.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5796_CROPED.JPG, path time not found, 0, Auto
428.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5797_CROPED.JPG, path time not found, 0, Auto
427.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5798_CROPED.JPG, path time not found, 0, Auto
427.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5799_CROPED.JPG, path time not found, 0, Auto
427.0, 2120.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5800_CROPED.JPG, path time not found, 0, Auto
427.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5801_CROPED.JPG, path time not found, 0, Auto
427.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5802_CROPED.JPG, path time not found, 0, Auto
427.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5803_CROPED.JPG, path time not found, 0, Auto
427.0, 2121.0, 68.0, 83.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5804_CROPED.JPG, path time not found, 0, Auto
426.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5805_CROPED.JPG, path time not found, 0, Auto
426.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5806_CROPED.JPG, path time not found, 0, Auto
426.0, 2121.0, 69.0, 85.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2.0_Methods-paper\79_2_side\cropped\5807_CROPED.JPG, path time not found, 0, Auto
